Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
All the Bright Places: Movie Tie-In Edition,Jennifer Niven,4.7,4.7,2841.0,7.952263308657046,1256.0,This New York Times best-selling love story about two teens who find each other while standing on the edge is soon to be a Netflix film starring Elle Fanning and Justice Smith!,Fiction on Depression for Teens | Fiction on Suicide for Teens | Fiction on Mental Illness for Teens,",#3,237 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Fiction on Depression for Teens,#2 in Fiction on Suicide for Teens,#2 in Fiction on Mental Illness for Teens",3237.0,11 hours and 4 minutes,664.0,Both,1,1,1,all the bright places: movie tie-in edition,jennifer niven,1001+,176
"Along Came a Spider: Alex Cross, Book 1",James Patterson,4.6,4.6,1759.0,7.473069088032197,820.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,"along came a spider: alex cross, book 1",james patterson,1001+,0
"Always and Forever, Lara Jean",Jenny Han,4.7,4.7,2089.0,7.644919344958857,820.0,Lara Jean's letter-writing days aren't over in this surprise follow-up to the best-selling To All the Boys I've Loved Before and P.S. I Still Love You.,Fiction on Dating & Sex for Teens | Multicultural Romance | Contemporary Romance for Teens,",#2,277 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Fiction on Dating & Sex for Teens,#4 in Multicultural Romance,#5 in Contemporary Romance for Teens",2277.0,8 hours and 47 minutes,527.0,Both,1,1,1,"always and forever, lara jean",jenny han,1001+,151
Americanah,Chimamanda Ngozi Adichie,4.5,4.5,6254.0,8.741136422901011,827.0,Shortlisted for the Baileys Women’s Prize for Fiction 2014.,African American Literature | Political Fiction | Women's Fiction,",#2,164 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in African American Literature,#10 in Political Fiction,#52 in Women's Fiction",2164.0,17 hours and 28 minutes,1048.0,Both,1,1,1,americanah,chimamanda ngozi adichie,1001+,59
An American Marriage (Oprah’s Book Club): A Novel,Tayari Jones,4.4,4.4,6002.0,8.700014623251842,820.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,an american marriage (oprah’s book club): a novel,tayari jones,1001+,0
An Astronaut's Guide to Life on Earth,Chris Hadfield,4.7,4.7,2046.0,7.624130585661289,323.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,an astronaut's guide to life on earth,chris hadfield,1001+,0
And the Mountains Echoed,Khaled Hosseini,4.3,4.3,10978.0,9.303739636234733,836.0,An unforgettable novel about finding a lost piece of yourself in someone else.,"Family Life Fiction | Literary Fiction | Crime, Thriller & Mystery (Books)",",#2,249 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Family Life Fiction,#139 in Literary Fiction,#3,465 in Crime, Thriller & Mystery (Books)",2249.0,14 hours,840.0,Both,1,1,1,and the mountains echoed,khaled hosseini,1001+,78
And Then There Were None,Hugh Fraser,4.6,4.6,6315.0,8.750841375375533,8735.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,and then there were none,hugh fraser,1001+,0
Animal Farm,George Orwell,4.6,4.6,10848.0,9.29182818882245,645.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,animal farm,george orwell,1001+,0
Anna Karenina (AmazonClassics Edition),Leo Tolstoy,4.2,4.2,2560.0,7.848153086199526,1055.0,"Beautiful, popular, and fortunate, Anna Karenina is an upright wife and mother. But her passionless marriage to a senior statesman leads her into the arms of Count Alexey Vronsky. The dashing cavalry officer stokes in her something exciting and defiant. In abandoning the rules of her noble station, she's aware of the risks: a degraded reputation and the hostile recriminations of St. Petersburg society. But there are even greater stakes as Anna follows desires both romantic and carnal, emancipating and destructive.",Classic Literature | Literary Fiction | Classic Fiction (Books),",#4,020 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#213 in Classic Literature,#231 in Literary Fiction,#3,792 in Classic Fiction (Books)",4020.0,38 hours and 7 minutes,2287.0,Advanced Only,1,1,1,anna karenina (amazonclassics edition),leo tolstoy,1001+,519
